string,template,gsm8k_acc,math_acc,total_accuracy
"rank=64, alpha=64, dropout=0, batch_size=32, learning_rate=3e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=64
alpha=64
dropout=0
batch_size=32
learning_rate=3e-05",0.7786259541984732,0.288,106.66259541984732
"rank=8, alpha=512, dropout=0, batch_size=32, learning_rate=3e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=8
alpha=512
dropout=0
batch_size=32
learning_rate=3e-05",0.8473282442748091,0.298,114.53282442748092
"rank=1, alpha=0.5, dropout=0.05, batch_size=128, learning_rate=5e-06","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=1
alpha=0.5
dropout=0.05
batch_size=128
learning_rate=5e-06",0.0,0.0,0.0
"rank=32, alpha=32, dropout=0, batch_size=2, learning_rate=2e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=32
alpha=32
dropout=0
batch_size=2
learning_rate=2e-05",0.7938931297709924,0.274,106.78931297709924
"rank=32, alpha=16.0, dropout=0.1, batch_size=8, learning_rate=3e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=32
alpha=16.0
dropout=0.1
batch_size=8
learning_rate=3e-05",0.8015267175572519,0.28,108.1526717557252
"rank=4, alpha=16, dropout=0.1, batch_size=8, learning_rate=2e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=4
alpha=16
dropout=0.1
batch_size=8
learning_rate=2e-05",0.7709923664122137,0.3,107.09923664122137
"rank=8, alpha=64, dropout=0, batch_size=64, learning_rate=5e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=8
alpha=64
dropout=0
batch_size=64
learning_rate=5e-05",0.7862595419847328,0.294,108.02595419847329
"rank=2, alpha=32, dropout=0.2, batch_size=2, learning_rate=5e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=2
alpha=32
dropout=0.2
batch_size=2
learning_rate=5e-05",0.8091603053435115,0.286,109.51603053435116
"rank=1, alpha=1, dropout=0.15, batch_size=64, learning_rate=2e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=1
alpha=1
dropout=0.15
batch_size=64
learning_rate=2e-05",0.0,0.0,0.0
"rank=8, alpha=32, dropout=0, batch_size=8, learning_rate=5e-05","* **Rank (r):** Controls adapter capacity by setting the low-rank dimension—higher r increases expressivity (and memory/compute) but raises overfitting risk. If you raise r, consider stronger regularization or a slightly lower learning rate.
* **Alpha (scaling):** Scales the LoRA update; the effective update magnitude is \~**alpha / r**, so setting alpha ≈ r keeps update strength stable. Larger alpha amplifies adaptation but can destabilize training if LR is high.
* **Batch size:** Number of samples per optimizer step—larger batches give smoother gradients and typically permit a proportionally larger learning rate (linear-scaling rule) at the cost of more memory. Small batches may need gradient accumulation or a reduced LR.
* **Learning rate:** Step size for adapter parameters—too high can diverge (especially with large alpha/r), too low slows convergence. Tune in conjunction with batch size and consider schedules (e.g., cosine) to balance speed and stability.
* **Dropout (LoRA dropout):** Probability of dropping the adapter path to regularize training; higher dropout curbs overfitting, especially with large r or small datasets. With higher dropout you can often afford slightly larger alpha or LR without instability.


[Hyperparameters selection]
rank=8
alpha=32
dropout=0
batch_size=8
learning_rate=5e-05",0.8244274809160306,0.28,110.44274809160306
